miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT044337,hsa-miR-106b-5p,hsa,SETD2,29072.0,hsa,ChIP-seq//Immunocytochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25714014.0
MIRT044337,hsa-miR-106b-5p,hsa,SETD2,29072.0,hsa,ChIP-seq//Immunocytochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,25714014.0
MIRT045840,hsa-miR-132-3p,hsa,FOXO1,2308.0,hsa,Luciferase reporter assay//Western blot,Functional MTI,27556448.0
MIRT045840,hsa-miR-132-3p,hsa,FOXO1,2308.0,hsa,Luciferase reporter assay//Western blot,Non-Functional MTI,27556448.0
MIRT098545,hsa-miR-18a-5p,hsa,TBPL1,9519.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26398009.0
MIRT098545,hsa-miR-18a-5p,hsa,TBPL1,9519.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26398009.0
MIRT005957,hsa-miR-130a-3p,hsa,PPARG,5468.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26398698.0
MIRT005957,hsa-miR-130a-3p,hsa,PPARG,5468.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26398698.0
MIRT438061,hsa-miR-200c-3p,hsa,NOTCH1,4851.0,hsa,Immunofluorescence//Western blot,Functional MTI,26400206.0
MIRT003026,hsa-miR-29b-3p,hsa,DNMT3B,1789.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26404322.0
MIRT003026,hsa-miR-29b-3p,hsa,DNMT3B,1789.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26404322.0
MIRT210968,hsa-miR-29a-3p,hsa,TET2,54790.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26404510.0
MIRT210969,hsa-miR-29b-3p,hsa,TET2,54790.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26404510.0
MIRT438343,hsa-miR-144-3p,hsa,MET,4233.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26250785.0
MIRT024977,hsa-miR-204-5p,hsa,HMGA2,8091.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26406941.0
MIRT024977,hsa-miR-204-5p,hsa,HMGA2,8091.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26406941.0
MIRT732490,hsa-miR-26a-5p,hsa,NRP1,8829.0,hsa,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26406949.0
MIRT732490,hsa-miR-26a-5p,hsa,NRP1,8829.0,hsa,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26406949.0
MIRT053426,hsa-miR-512-5p,hsa,TERT,7015.0,hsa,Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,26258591.0
MIRT053426,hsa-miR-512-5p,hsa,TERT,7015.0,hsa,Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Non-Functional MTI,26258591.0
MIRT728415,hsa-miR-93-5p,hsa,ABCA1,19.0,hsa,ELISA//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25785043.0
MIRT728415,hsa-miR-93-5p,hsa,ABCA1,19.0,hsa,ELISA//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25785043.0
MIRT728415,hsa-miR-93-5p,hsa,ABCA1,19.0,hsa,ELISA//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,25785043.0
MIRT728415,hsa-miR-93-5p,hsa,ABCA1,19.0,hsa,ELISA//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,25785043.0
MIRT728416,hsa-miR-17-5p,hsa,ABCA1,19.0,hsa,ELISA//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25785043.0
MIRT728416,hsa-miR-17-5p,hsa,ABCA1,19.0,hsa,ELISA//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25785043.0
MIRT728416,hsa-miR-17-5p,hsa,ABCA1,19.0,hsa,ELISA//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,25785043.0
MIRT728416,hsa-miR-17-5p,hsa,ABCA1,19.0,hsa,ELISA//Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,25785043.0
