id_cp_interaction,partner_a_Ligand,partner_b_Receptor,,protein_name_a_Ligand,protein_name_b_Receptor,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,version,interaction_name-,classification,directionality,modulatory_effect
,P02452,integrin_a2b1_complex,CO1A1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P08123,integrin_a1b1_complex,CO1A2,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A2-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P08123,integrin_a10b1_complex,CO1A2,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A2-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P08123,integrin_a11b1_complex,CO1A2,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A2-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P08123,integrin_a2b1_complex,CO1A2,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL1A2-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q9P218,integrin_a1b1_complex,COKA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL20A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q9P218,integrin_a10b1_complex,COKA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL20A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q9P218,integrin_a11b1_complex,COKA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL20A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q9P218,integrin_a2b1_complex,COKA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL20A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q96P44,integrin_a1b1_complex,COLA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL21A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q96P44,integrin_a10b1_complex,COLA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL21A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q96P44,integrin_a11b1_complex,COLA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL21A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q96P44,integrin_a2b1_complex,COLA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL21A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q8NFW1,integrin_a1b1_complex,COMA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL22A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q8NFW1,integrin_a10b1_complex,COMA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL22A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q8NFW1,integrin_a11b1_complex,COMA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL22A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q8NFW1,integrin_a2b1_complex,COMA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL22A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q17RW2,integrin_a1b1_complex,COOA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL24A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q17RW2,integrin_a10b1_complex,COOA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL24A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q17RW2,integrin_a11b1_complex,COOA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL24A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q17RW2,integrin_a2b1_complex,COOA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL24A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q96A83,integrin_a1b1_complex,COQA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL26A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q96A83,integrin_a10b1_complex,COQA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL26A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q96A83,integrin_a11b1_complex,COQA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL26A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q96A83,integrin_a2b1_complex,COQA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL26A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q8IZC6,integrin_a1b1_complex,CORA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL27A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q8IZC6,integrin_a10b1_complex,CORA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL27A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q8IZC6,integrin_a11b1_complex,CORA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL27A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q8IZC6,integrin_a2b1_complex,CORA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL27A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q2UY09,integrin_a1b1_complex,COSA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL28A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q2UY09,integrin_a10b1_complex,COSA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL28A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q2UY09,integrin_a11b1_complex,COSA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL28A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q2UY09,integrin_a2b1_complex,COSA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL28A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P02458,integrin_a1b1_complex,CO2A1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL2A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
