,source,target,weight,padj
392,Androgen,Cand1,-1.18626061903,9.5325393678e-06
393,Androgen,Meaf6,1.52925940301,9.55756124808e-06
394,Androgen,Scyl3,-2.23392489312,9.68764070784e-06
395,Androgen,Cab39l,1.82075154211,1.0032618239e-05
396,Androgen,Dlg2,1.22239699487,1.0352920812e-05
397,Androgen,Hus1,1.29157024604,1.05103410872e-05
398,Androgen,Klhl29,1.01163069907,1.06370990919e-05
399,Androgen,Lgals8,-1.91440180951,1.06960324384e-05
400,Androgen,Enc1,-4.18510928668,1.07546611814e-05
401,Androgen,Swap70,-1.83178578403,1.07630261208e-05
402,Androgen,Polr1f,2.04836033177,1.08107240942e-05
403,Androgen,Wls,-2.95958326649,1.10106692225e-05
404,Androgen,Derl1,1.29350036111,1.12069217435e-05
405,Androgen,Rnf41,1.67079192985,1.13368431761e-05
406,Androgen,Angpt2,2.11156114607,1.17153378297e-05
407,Androgen,Zfp652,2.90515742379,1.1729870627e-05
408,Androgen,Atp2b1,-3.85982677056,1.18688288092e-05
409,Androgen,Sec24a,2.50857888978,1.25274746863e-05
410,Androgen,Trim33,1.58914729298,1.29432282527e-05
411,Androgen,Maoa,3.4302033137,1.2999820391e-05
412,Androgen,Nek1,-1.53574939549,1.30202854497e-05
413,Androgen,Nsdhl,2.17067766992,1.42264480332e-05
414,Androgen,Hnrnph1,-1.56529679109,1.45187663347e-05
415,Androgen,Reep1,-2.64175533295,1.45528562929e-05
416,Androgen,Mogat2,0.871803222852,1.45887124286e-05
417,Androgen,Ssr2,1.68625946996,1.4657547652e-05
418,Androgen,Adpgk,1.32114077473,1.46715843392e-05
419,Androgen,Peli2,-1.72686778639,1.46776106868e-05
420,Androgen,Coq6,-1.29203960713,1.47545979608e-05
421,Androgen,Cd2ap,1.61934708626,1.52587176509e-05
422,Androgen,Cap2,2.12070642668,1.52797651878e-05
423,Androgen,Pds5b,1.252724399,1.54711942397e-05
424,Androgen,Adgrb2,-1.36787265021,1.57776811618e-05
425,Androgen,Extl3,-1.12969869198,1.58491929874e-05
426,Androgen,Lasp1,-2.18529807928,1.65029905681e-05
427,Androgen,Mical2,2.40406590059,1.658244414e-05
428,Androgen,Osbpl8,2.04790607767,1.67631117283e-05
429,Androgen,Flot2,-1.53015357928,1.70305038275e-05
430,Androgen,Tbc1d4,3.08707216089,1.74510953027e-05
431,Androgen,Itgav,2.94299097459,1.76180722606e-05
432,Androgen,Ncbp2,-1.42867473033,1.76240926779e-05
433,Androgen,Csnk1g3,1.46793301305,1.83819293529e-05
434,Androgen,Fbxw2,1.16803375055,1.8404530089e-05
435,Androgen,Dnajc10,1.96290478864,1.86617639725e-05
436,Androgen,Atp8a1,-1.671390289,1.87944817451e-05
437,Androgen,Rgs10,-1.6670708804,1.89343049609e-05
438,Androgen,Ffar2,-2.37564689974,1.91784640533e-05
439,Androgen,Hfe,-1.04039616653,1.92309378647e-05
440,Androgen,Tbc1d8,3.76201874154,1.97185267717e-05
441,Androgen,Bbs4,1.89324943451,2.00200893768e-05
442,Androgen,Zbtb1,1.95299855577,2.1331795123e-05
443,Androgen,Abitram,1.55815600382,2.16900999289e-05
444,Androgen,Limch1,2.60616794397,2.21788320741e-05
445,Androgen,Evc,-0.919400897505,2.27239007157e-05
446,Androgen,Rexo2,-1.79135638657,2.27885564797e-05
447,Androgen,Pla2g2a,-2.63034197809,2.3264629906e-05
448,Androgen,H4c2,-1.90367878596,2.543595442e-05
449,Androgen,H4c17,-1.90367878596,2.543595442e-05
450,Androgen,Tmem131l,-2.01299325497,2.54887775447e-05
451,Androgen,Calu,2.26890236835,2.59112708606e-05
452,Androgen,Wwp1,2.35337668169,2.60954535501e-05
453,Androgen,Tdp1,-1.55964295371,2.67287314529e-05
454,Androgen,Copb1,1.37259053398,2.96457568741e-05
455,Androgen,Mcph1,1.02159524333,2.99152902294e-05
456,Androgen,Il20ra,1.25559386223,3.02633751035e-05
457,Androgen,M6pr,-1.94361893877,3.06442116433e-05
