celltype,metaprogram_id,metaprogram_description,url,gene
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,PAICS
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,PPP1R14B
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,RGS10
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,RPL22L1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,RSL1D1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,SLC27A5
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,SNHG19
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,SNHG32
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,SNHG7
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,SNHG8
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,SRM
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,TKT
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,TOP1MT
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,ZFAS1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,ZNF277
